player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name
244940,2026-07-01,26/27,16,515,Dortmund,Without Club,,3500000.000,Salih Özcan
247377,2026-07-01,26/27,1025,515,Bologna,Without Club,,300000.000,Kevin Bonifazi
257474,2026-07-01,26/27,416,6195,Torino,Napoli,6000000.000,20000000.000,Vanja Milinković-Savić
282388,2026-07-01,26/27,6195,416,Napoli,Torino,6000000.000,5000000.000,Giovanni Simeone
293228,2026-07-01,26/27,458,589,Palermo,Antalyaspor,,700000.000,Dario Saric
345911,2026-07-01,26/27,12321,543,Girona,Wolves,7500000.000,22000000.000,Ladislav Krejci
356197,2026-07-01,26/27,1050,398,Villarreal,Lazio,0.000,2500000.000,Alfonso Pedraza
370846,2026-07-01,26/27,506,244,Juventus,Marseille,14400000.000,20000000.000,Timothy Weah
392538,2026-07-01,26/27,5,1025,AC Milan,Bologna,7000000.000,9000000.000,Tommaso Pobega
398808,2026-07-01,26/27,16795,605,Granada CF,Aris Saloniki,1300000.000,1200000.000,Martin Hongla
402010,2026-07-01,26/27,2410,820,CSKA Moscow,Genclerbirligi,1600000.000,3000000.000,Sékou Koïta
413605,2026-07-01,26/27,2239,515,Cremonese,Without Club,,1500000.000,David Okereke
428502,2026-07-01,26/27,132,515,NAC Breda,Without Club,,850000.000,Boy Kemper
454567,2026-07-01,26/27,294,114,Benfica,Besiktas,30000000.000,25000000.000,Orkun Kökçü
467434,2026-07-01,26/27,18,23826,Mönchengladbach,Leipzig,20000000.000,20000000.000,Rocco Reitz
515050,2026-07-01,26/27,1083,16704,Rostov,Krasnodar,1550000.000,3000000.000,Ilya Vakhania
538918,2026-07-01,26/27,46,1390,Inter,Cagliari,4000000.000,9000000.000,Sebastiano Esposito
540927,2026-07-01,26/27,1269,515,PEC Zwolle,Without Club,,1000000.000,Kaj de Rooij
550829,2026-07-01,26/27,15,383,Leverkusen,PSV,5000000.000,7000000.000,Matej Kovar
559328,2026-07-01,26/27,667,631,R. Strasbourg,Chelsea,,28000000.000,Emmanuel Emegha
564620,2026-07-01,26/27,1269,123,PEC Zwolle,Retired,,150000.000,Samir Lagsir
590410,2026-07-01,26/27,371,2760,Celtic,Partick Thistle,,125000.000,Josh Clarke
613975,2026-07-01,26/27,443,5767,Vejle BK,Middelfart,0.000,50000.000,Tobias Haahr
623325,2026-07-01,26/27,660,294,Shakhtar D.,Benfica,20250000.000,28000000.000,Georgiy Sudakov
659813,2026-07-01,26/27,15,11,Leverkusen,Arsenal,52000000.000,50000000.000,Piero Hincapié
667251,2026-07-01,26/27,496,18,Malmö,Mönchengladbach,2000000.000,6000000.000,Hugo Bolin
667263,2026-07-01,26/27,10803,515,Spakenburg,Without Club,,,Jeffry Puriel
692187,2026-07-01,26/27,260,4172,FC Zürich,Pisa,1000000.000,500000.000,Daniel Denoon
701819,2026-07-01,26/27,276,12,Hellas Verona,Roma,8000000.000,8000000.000,Daniele Ghilardi
703772,2026-07-01,26/27,1435,512,Go Ahead Eagles,Stoke City,5500000.000,2000000.000,Milan Smit
741257,2026-07-01,26/27,5,989,AC Milan,Bournemouth,18500000.000,22000000.000,Álex Jiménez
765467,2026-07-01,26/27,2502,367,Castellón,Rayo Vallecano,1500000.000,2500000.000,Jozhua Vertrouwd
800919,2026-07-01,26/27,8815,206,Bröndby IF U19,Bröndby IF,,300000.000,Lukas Larsen
800948,2026-07-01,26/27,58,8023,RSC Anderlecht,Al-Ittihad,15000000.000,12000000.000,Jan-Carlo Simić
825971,2026-07-01,26/27,2589,2036,Sonnenhof-Gr.,Heidenheim,0.000,150000.000,Luka Janes
843286,2026-07-01,26/27,1234,4172,Independiente,Pisa,5500000.000,8000000.000,Felipe Loyola
926991,2026-07-01,26/27,9054,865,Midtjylland U19,Midtjylland,,400000.000,Jonatan Lindekilde
973449,2026-07-01,26/27,77,43,Vardar,Heart of Midl.,0.000,700000.000,Rogers Mato
981194,2026-07-01,26/27,1096,354,Royal Antwerp,KV Mechelen,0.000,1000000.000,Kobe Corbanie
986288,2026-07-01,26/27,1420,36,Angers SCO,Fenerbahçe,18000000.000,18000000.000,Sidiki Chérif
1004301,2026-07-01,26/27,273,31,Stade Rennais,Liverpool,63600000.000,20000000.000,Jérémy Jacquet
1034853,2026-07-01,26/27,150,367,Real Betis,Rayo Vallecano,2400000.000,6000000.000,Nobel Mendy
1065122,2026-07-01,26/27,43563,515,Jong Cercle,Without Club,,,Ono Vanackere
1086461,2026-07-01,26/27,15642,1177,Silkeborg U19,Silkeborg IF,,,William Kirk
1138758,2026-07-01,26/27,336,631,Sporting,Chelsea,50780000.000,42000000.000,Geovany Quenda
1209442,2026-07-01,26/27,9066,678,Aarhus GF U19,Aarhus GF,,25000.000,Oskar Haugstrup
1229313,2026-07-01,26/27,6304,8429,KSV Oudenaarde,KRC Waregem,0.000,,Leko Verbauwhede
1319440,2026-07-01,26/27,20277,38006,Girona U19,Girona FC B,,,Jordi Danso
30321,2026-06-30,26/27,367,515,Rayo Vallecano,Without Club,,400000.000,Óscar Trejo
43824,2026-06-30,25/26,33,2036,FC Schalke 04,Heidenheim,0.000,300000.000,Kevin Müller
74857,2026-06-30,25/26,12321,131,Girona,Barcelona,0.000,4000000.000,Marc-André ter Stegen
75489,2026-06-30,25/26,5,379,AC Milan,West Ham,0.000,8000000.000,Niclas Füllkrug
111426,2026-06-30,25/26,252,455,Genoa,FC Rapid 1923,0.000,600000.000,Benjamin Siegrist
113707,2026-06-30,25/26,995,683,FC Nantes,Olympiacos,0.000,1500000.000,Rémy Cabella
120205,2026-06-30,25/26,167,206,Augsburg,Bröndby IF,0.000,1500000.000,Michael Gregoritsch
124419,2026-06-30,25/26,368,762,Sevilla FC,Newcastle,0.000,4000000.000,Odysseas Vlachodimos
128223,2026-06-30,25/26,1047,5,Como,AC Milan,0.000,8000000.000,Álvaro Morata
128901,2026-06-30,25/26,358,1112,Charlton,Wrexham,0.000,1500000.000,Conor Coady
145988,2026-06-30,25/26,78435,141,Charlotte,Galatasaray,0.000,4000000.000,Wilfried Zaha
149729,2026-06-30,25/26,2441,114,AEK Athens,Besiktas,0.000,1800000.000,João Mário
156941,2026-06-30,25/26,3008,449,Hull City,Trabzonspor,0.000,2000000.000,John Lundstram
162038,2026-06-30,25/26,13509,367,Al-Wakrah SC,Rayo Vallecano,0.000,500000.000,Raúl de Tomás
162959,2026-06-30,25/26,430,506,Fiorentina,Juventus,0.000,2000000.000,Daniele Rugani
168063,2026-06-30,25/26,6646,265,Karagümrük,Panathinaikos,0.000,400000.000,Filip Mladenovic
177964,2026-06-30,25/26,13509,26629,Al-Wakrah SC,Al-Markhiya SC,0.000,650000.000,Yusupha Njie
181380,2026-06-30,25/26,826,289,Lens,Sunderland,0.000,2500000.000,Arthur Masuaku
181579,2026-06-30,25/26,1132,379,Burnley,West Ham,0.000,6000000.000,James Ward-Prowse
182712,2026-06-30,25/26,131,1114,Barcelona,Al-Hilal,0.000,9000000.000,João Cancelo
182893,2026-06-30,25/26,720,273,Porto,Stade Rennais,0.000,8000000.000,Seko Fofana
183383,2026-06-30,25/26,520,157,Cercle Brugge,KAA Gent,0.000,800000.000,Pieter Gerkens
187188,2026-06-30,25/26,8024,317,Arouca,FC Twente,0.000,800000.000,Bas Kuipers
188888,2026-06-30,25/26,39,331,Mainz,CA Osasuna,0.000,1500000.000,Sheraldo Becker
190268,2026-06-30,25/26,63993,2381,Sabah FK,Sivasspor,0.000,750000.000,Veljko Simic
192616,2026-06-30,25/26,6574,244,Sassuolo,Marseille,0.000,3000000.000,Ulisses Garcia
195633,2026-06-30,25/26,984,180,West Brom,Southampton,0.000,2000000.000,Charlie Taylor
195778,2026-06-30,25/26,79,27,Stuttgart,Bayern Munich,0.000,12000000.000,Alexander Nübel
197126,2026-06-30,25/26,142,279,Real Zaragoza,Ferencváros,0.000,500000.000,Kenan Kodro
197642,2026-06-30,25/26,677,610,Ipswich,Ajax,0.000,6000000.000,Chuba Akpom
198015,2026-06-30,25/26,1532,683,Albacete,Olympiacos,0.000,600000.000,Jefté Betancor
199927,2026-06-30,25/26,6646,8970,Karagümrük,Frosinone,0.000,400000.000,Davide Biraschi
203123,2026-06-30,25/26,18,533,Mönchengladbach,Hoffenheim,0.000,3000000.000,Haris Tabakovic
203460,2026-06-30,25/26,29,281,Everton,Man City,0.000,25000000.000,Jack Grealish
203938,2026-06-30,25/26,1420,610,Angers SCO,Ajax,0.000,2500000.000,Branco van den Boomen
205562,2026-06-30,25/26,12321,13,Girona,Atlético,0.000,2000000.000,Thomas Lemar
206888,2026-06-30,25/26,53646,9840,Polissya,Al-Shabab,0.000,2500000.000,Georgiy Bushchan
208172,2026-06-30,25/26,120,1390,Kocaelispor,Cagliari,0.000,1200000.000,Mateusz Wieteska
214238,2026-06-30,25/26,2696,232,KS Samara,Spartak Moscow,0.000,1500000.000,Nikita Chernov
216569,2026-06-30,25/26,506,417,Juventus,Nice,0.000,8000000.000,Jérémie Boga
216603,2026-06-30,25/26,10484,36,Kasimpasa,Fenerbahçe,0.000,3500000.000,İrfan Can Kahveci
217115,2026-06-30,26/27,368,244,Sevilla FC,Marseille,0.000,4000000.000,Neal Maupay
221958,2026-06-30,25/26,1041,683,Lyon,Olympiacos,0.000,2500000.000,Roman Yaremchuk
223025,2026-06-30,25/26,2381,820,Sivasspor,Genclerbirligi,0.000,400000.000,Gökhan Akkan
223974,2026-06-30,25/26,39,1047,Mainz,Como,0.000,5500000.000,Stefan Posch
226025,2026-06-30,25/26,1390,1047,Cagliari,Como,0.000,1400000.000,Luca Mazzitelli
226073,2026-06-30,25/26,6646,350,Karagümrük,Sheff Utd,0.000,1200000.000,Ivo Grbic
234509,2026-06-30,25/26,449,985,Trabzonspor,Man Utd,0.000,12000000.000,André Onana
234781,2026-06-30,25/26,252,379,Genoa,West Ham,0.000,5000000.000,Maxwel Cornet
234850,2026-06-30,25/26,1091,3711,PAOK,CD Cruz Azul,0.000,7000000.000,Georgios Giakoumakis
237658,2026-06-30,25/26,4172,1025,Pisa,Bologna,0.000,4500000.000,Michel Aebischer
238266,2026-06-30,25/26,681,1041,Real Sociedad,Lyon,0.000,3000000.000,Duje Caleta-Car
238639,2026-06-30,25/26,11282,167,Alanyaspor,Augsburg,0.000,1800000.000,Steve Mounié
239743,2026-06-30,25/26,273,141,Stade Rennais,Galatasaray,0.000,7000000.000,Przemyslaw Frankowski
241076,2026-06-30,25/26,458,749,Palermo,FC Empoli,0.000,1000000.000,Emmanuel Gyasi
241324,2026-06-30,25/26,724,2068,FC Volendam,Raja Casablanca,0.000,800000.000,Bilal Ould-Chikh
243188,2026-06-30,25/26,3205,89,Kayserispor,Union Berlin,0.000,2800000.000,László Bénes
244260,2026-06-30,25/26,3426,2553,Esbjerg fB,Kilmarnock FC,0.000,550000.000,Robby McCrorie
247915,2026-06-30,25/26,15,18,Leverkusen,Mönchengladbach,0.000,1500000.000,Jonas Omlin
249121,2026-06-30,25/26,605,31614,Aris Saloniki,Ludogorets,0.000,900000.000,Noah Sonko Sundberg
249952,2026-06-30,25/26,6646,6890,Karagümrük,Basaksehir,0.000,1500000.000,Berkay Özcan
250013,2026-06-30,25/26,28844,826,Al-Taawoun,Lens,0.000,5000000.000,Angelo Fulgini
251309,2026-06-30,25/26,370,533,Aberdeen FC,Hoffenheim,0.000,1500000.000,Dennis Geiger
256339,2026-06-30,25/26,2239,1047,Cremonese,Como,0.000,3200000.000,Emil Audero
256361,2026-06-30,25/26,6646,3522,Karagümrük,Spezia Calcio,0.000,700000.000,Daniele Verde
256942,2026-06-30,25/26,2745,63007,Pol. Warsaw,LNZ Cherkasy,0.000,600000.000,Hajdin Salihu
256977,2026-06-30,25/26,683,9840,Olympiacos,Al-Shabab,0.000,5000000.000,Daniel Podence
257097,2026-06-30,25/26,988,124,Oxford United,Rangers,0.000,1800000.000,Ben Davies
257455,2026-06-30,25/26,148,27,Tottenham,Bayern Munich,0.000,18000000.000,João Palhinha
257474,2026-06-30,25/26,6195,416,Napoli,Torino,0.000,20000000.000,Vanja Milinković-Savić
258027,2026-06-30,25/26,265,583,Panathinaikos,PSG,0.000,2000000.000,Renato Sanches
258923,2026-06-30,25/26,131,985,Barcelona,Man Utd,0.000,40000000.000,Marcus Rashford
263361,2026-06-30,25/26,86,399,Werder Bremen,Leeds,0.000,3000000.000,Maximilian Wöber
263380,2026-06-30,25/26,324,533,Pogon Szczecin,Hoffenheim,0.000,2000000.000,Attila Szalai
263962,2026-06-30,25/26,41231,232,FK Sochi,Spartak Moscow,0.000,2500000.000,Anton Zinkovskiy
265078,2026-06-30,25/26,2919,1047,Monza,Como,0.000,5000000.000,Patrick Cutrone
268429,2026-06-30,25/26,276,410,Hellas Verona,Udinese,0.000,6000000.000,Sandi Lovrić
268670,2026-06-30,25/26,367,16795,Rayo Vallecano,Granada CF,0.000,1400000.000,Gerard Gumbau
271495,2026-06-30,25/26,589,3008,Antalyaspor,Hull City,0.000,2200000.000,Abdülkadir Ömür
272638,2026-06-30,25/26,7160,9465,Eyüpspor,Petrolul,0.000,250000.000,Jérôme Onguéné
275249,2026-06-30,25/26,105,415,Darmstadt 98,Toulouse,0.000,1500000.000,Niklas Schmidt
275303,2026-06-30,25/26,1041,273,Lyon,Stade Rennais,0.000,2000000.000,Hans Hateboer
279009,2026-06-30,25/26,105,39,Darmstadt 98,Mainz,0.000,1500000.000,Marco Richter
280491,2026-06-30,25/26,518,7160,Sariyerspor,Eyüpspor,0.000,250000.000,Fethi Özer
281404,2026-06-30,25/26,4035,366,Pachuca,Real Valladolid,0.000,700000.000,Kenedy
282388,2026-06-30,25/26,416,6195,Torino,Napoli,0.000,5000000.000,Giovanni Simeone
282810,2026-06-30,25/26,605,940,Aris Saloniki,Celta de Vigo,0.000,1800000.000,Carles Pérez
283166,2026-06-30,25/26,7160,10010,Eyüpspor,EC Bahia,0.000,2000000.000,Marcos Felipe
283170,2026-06-30,25/26,1531,131,Elche CF,Barcelona,0.000,5000000.000,Iñaki Peña
284701,2026-06-30,25/26,71665,720,Al-Okhdood,Porto,0.000,900000.000,Samuel Portugal
284730,2026-06-30,25/26,46,281,Inter,Man City,0.000,22000000.000,Manuel Akanji
284876,2026-06-30,25/26,6070,2441,Al-Khaleej,AEK Athens,0.000,700000.000,Paolo Fernandes
287183,2026-06-30,25/26,3205,1091,Kayserispor,PAOK,0.000,5000000.000,Fedor Chalov
287579,2026-06-30,25/26,150,36,Real Betis,Fenerbahçe,0.000,12000000.000,Sofyan Amrabat
289404,2026-06-30,25/26,50532,44006,Damac FC,Bodrum FK,0.000,350000.000,Jonathan Okita
289648,2026-06-30,25/26,520,157,Cercle Brugge,KAA Gent,0.000,2000000.000,Dante Vanzeir
290261,2026-06-30,25/26,60949,157,Volos NFC,KAA Gent,0.000,600000.000,Núrio Fortuna
292808,2026-06-30,25/26,162,1003,Monaco,Leicester,0.000,12000000.000,Wout Faes
293213,2026-06-30,25/26,3008,114,Hull City,Besiktas,0.000,4200000.000,Amir Hadziahmetovic
293228,2026-06-30,25/26,589,458,Antalyaspor,Palermo,0.000,700000.000,Dario Saric
300308,2026-06-30,25/26,4603,2063,AE Larisa,Huracán,0.000,250000.000,Leandro Garate
311333,2026-06-30,25/26,5587,1047,Juve Stabia,Como,0.000,500000.000,Alessandro Gabrielloni
312493,2026-06-30,25/26,468,467,Sparta R.,NEC Nijmegen,0.000,1000000.000,Vito van Crooij
322873,2026-06-30,25/26,152,36,Samsunspor,Fenerbahçe,0.000,1500000.000,İrfan Can Eğribayat
324344,2026-06-30,25/26,385,265,Fortuna Sittard,Panathinaikos,0.000,800000.000,Dimitrios Limnios
324377,2026-06-30,25/26,2239,1005,Cremonese,Lecce,0.000,1000000.000,Youssef Maleh
324811,2026-06-30,25/26,273,39,Stade Rennais,Mainz,0.000,4000000.000,Arnaud Nordin
326029,2026-06-30,25/26,12,405,Roma,Aston Villa,0.000,25000000.000,Donyell Malen
329145,2026-06-30,25/26,1047,36,Como,Fenerbahçe,0.000,8500000.000,Diego Carlos
329517,2026-06-30,25/26,6070,683,Al-Khaleej,Olympiacos,0.000,1800000.000,Georgios Masouras
329722,2026-06-30,25/26,3302,1075,UD Almería,Braga,0.000,2000000.000,André Horta
330208,2026-06-30,25/26,1091,252,PAOK,Genoa,0.000,2500000.000,Alessandro Vogliacco
331739,2026-06-30,25/26,1100,44,Brann,Hertha BSC,0.000,800000.000,Jón Dagur Thorsteinsson
333640,2026-06-30,25/26,468,383,Sparta R.,PSV,0.000,2500000.000,Joël Drommel
334440,2026-06-30,25/26,2696,964,KS Samara,Zenit S-Pb,0.000,1500000.000,Ilzat Akhmetov
337036,2026-06-30,25/26,38,60,F. Düsseldorf,Freiburg,0.000,1800000.000,Florent Muslija
337290,2026-06-30,25/26,465,2805,St. Mirren,Wycombe,0.000,300000.000,Shamal George
338070,2026-06-30,25/26,12,31,Roma,Liverpool,0.000,10000000.000,Konstantinos Tsimikas
338285,2026-06-30,25/26,1049,940,Valencia,Celta de Vigo,0.000,3500000.000,Unai Núñez
339332,2026-06-30,25/26,141,6195,Galatasaray,Napoli,0.000,25000000.000,Noa Lang
339707,2026-06-30,25/26,10920,656,Umm Salal SC,Al-Sadd,0.000,4500000.000,Cristo
340325,2026-06-30,25/26,1148,11,Brentford,Arsenal,0.000,12000000.000,Reiss Nelson
340538,2026-06-30,25/26,70178,49702,M. Bnei Reineh,Pari NN,0.000,375000.000,Zé Turbo
341647,2026-06-30,25/26,114,36,Besiktas,Fenerbahçe,0.000,6000000.000,Cengiz Ünder
342039,2026-06-30,25/26,167,79,Augsburg,Stuttgart,0.000,2000000.000,Yannik Keitel
342877,2026-06-30,25/26,416,410,Torino,Udinese,0.000,1500000.000,Enzo Ebosse
343463,2026-06-30,25/26,180,237,Southampton,RCD Mallorca,0.000,3500000.000,Cyle Larin
343475,2026-06-30,25/26,206,800,Bröndby IF,Atalanta,0.000,5500000.000,Ben Godfrey
344864,2026-06-30,25/26,157,995,KAA Gent,FC Nantes,0.000,2000000.000,Jean-Kévin Duverne
345458,2026-06-30,25/26,6574,416,Sassuolo,Torino,0.000,4500000.000,Sebastian Walukiewicz
345911,2026-06-30,25/26,543,12321,Wolves,Girona,0.000,22000000.000,Ladislav Krejci
346472,2026-06-30,25/26,820,1010,Genclerbirligi,Watford,0.000,1800000.000,Tom Dele-Bashiru
346546,2026-06-30,25/26,3911,162,Stade Brestois,Monaco,0.000,4000000.000,Radoslaw Majecki
348623,2026-06-30,25/26,4630,6297,Al-Sailiya SC,Al-Gharafa,0.000,3000000.000,Mason Holgate
348863,2026-06-30,25/26,724,2832,FC Volendam,Gaziantep FK,0.000,2200000.000,Juninho Bacuna
349503,2026-06-30,25/26,1020,677,Portsmouth,Ipswich,0.000,4000000.000,Conor Chaplin
349536,2026-06-30,25/26,2157,8024,Blau Weiss Linz,Arouca,0.000,1000000.000,Nico Mantl
351816,2026-06-30,25/26,419,5,Dinamo Zagreb,AC Milan,0.000,9000000.000,Ismaël Bennacer
353366,2026-06-30,25/26,244,46,Marseille,Inter,0.000,20000000.000,Benjamin Pavard
354814,2026-06-30,25/26,6574,430,Sassuolo,Fiorentina,0.000,6000000.000,M'Bala Nzola
354909,2026-06-30,25/26,2921,607,Pescara,Venezia,0.000,800000.000,Giorgio Altare
355369,2026-06-30,25/26,7179,1421,Tondela,Stade Reims,0.000,2000000.000,Jordan
357117,2026-06-30,25/26,265,995,Panathinaikos,FC Nantes,0.000,3000000.000,Alban Lafont
357162,2026-06-30,25/26,1132,294,Burnley,Benfica,0.000,20000000.000,Florentino
357628,2026-06-30,25/26,1050,368,Villarreal,Sevilla FC,0.000,3000000.000,Alfon González
357917,2026-06-30,25/26,385,338,Fortuna Sittard,Dynamo Kyiv,0.000,800000.000,Justin Lonwijk
358032,2026-06-30,25/26,714,6195,Espanyol,Napoli,0.000,8000000.000,Cyril Ngonge
358166,2026-06-30,25/26,6890,12,Basaksehir,Roma,0.000,7000000.000,Eldor Shomurodov
360140,2026-06-30,25/26,3901,58,La Louvière,RSC Anderlecht,0.000,700000.000,Majeed Ashimeru
360791,2026-06-30,25/26,265,1030,Panathinaikos,Argentinos Jrs.,0.000,900000.000,Lucas Chaves
361254,2026-06-30,25/26,1531,368,Elche CF,Sevilla FC,0.000,4000000.000,Rafa Mir
361575,2026-06-30,25/26,63993,269,Sabah FK,Holstein Kiel,0.000,1500000.000,Tymoteusz Puchacz
362842,2026-06-30,25/26,210,506,Grêmio,Juventus,0.000,4000000.000,Arthur Melo
367992,2026-06-30,25/26,200,1025,Utrecht,Bologna,0.000,4000000.000,Jesper Karlsson
368887,2026-06-30,25/26,506,23826,Juventus,Leipzig,0.000,40000000.000,Loïs Openda
369567,2026-06-30,25/26,413,543,LASK,Wolves,0.000,2000000.000,Sasa Kalajdzic
370846,2026-06-30,25/26,244,506,Marseille,Juventus,0.000,20000000.000,Timothy Weah
370998,2026-06-30,25/26,607,82,Venezia,Wolfsburg,0.000,1400000.000,Bartol Franjic
371000,2026-06-30,25/26,327,167,NK Osijek,Augsburg,0.000,750000.000,David Colina
371021,2026-06-30,25/26,6574,677,Sassuolo,Ipswich,0.000,7500000.000,Arijanet Murić
371141,2026-06-30,25/26,89,533,Union Berlin,Hoffenheim,0.000,2000000.000,Stanley Nsoki
